scenario,policy,week,planning_status,fulfillment_status,planning_solve_seconds,fulfillment_solve_seconds,planned_objective,demand_units,fulfilled_units,shortage_units,fill_rate,ordered_units,ending_inventory,procurement_cost,shipping_cost,risk_cost,holding_cost,shortage_cost,service_gap_cost,total_cost,expected_late_units,supplier_risk_units
base,moving_average,2018-08-20,Optimal,Optimal,0.06390224999631755,0.027374666009563953,327618.0668745642,729.0,729.0,0.0,1.0,1515.0,1018.0,68904.84,10373.565,756.2942983417887,771.5137,0.0,0.0,80806.21299834178,55.383933455823716,62.644566139039796
base,ridge,2018-05-28,Optimal,Optimal,0.06467424999573268,0.02756420901278034,241970.70710608314,793.0,793.0,0.0,1.0,847.0,872.0,40723.614,12122.41,846.0219148201903,650.2664,0.0,0.0,54342.312314820185,63.00832882252988,68.39105684799021
base,ridge,2018-06-04,Optimal,Optimal,0.06303708298946731,0.028033375012455508,233550.33556634063,1082.0,1061.0,21.0,0.9805914972273567,716.0,658.0,33654.15,16228.0,1116.8837584325533,508.677,1901.2350000000001,0.0,53408.94575843256,82.80201335351683,90.89353032088377
base,ridge,2018-06-11,Optimal,Optimal,0.06653016700875014,0.03696058300556615,301924.69231212063,1127.0,1010.0,117.0,0.8961845607808341,1204.0,364.0,56443.332,15448.789999999999,1049.9865813342417,277.6157,13570.245,701.9776875000001,87491.94696883424,76.50134474149918,87.59516468044961
base,ridge,2018-06-18,Optimal,Optimal,0.06495820797863416,0.02869766700314358,269150.28925660875,1115.0,1107.0,8.0,0.9928251121076234,1223.0,461.0,57890.598,16491.465,1163.0539894502967,348.995,927.88,0.0,76821.99198945031,85.62313647402323,95.61377953162214
base,ridge,2018-06-25,Optimal,Optimal,0.06398712497320957,0.028117291978560388,242359.1841676891,1096.0,1096.0,0.0,1.0,966.0,588.0,44635.926,16613.1,1167.8521838158217,465.15430000000003,0.0,0.0,62882.03248381582,85.9773908477405,96.00661140677956
base,ridge,2018-07-02,Optimal,Optimal,0.0645071659819223,0.027591624995693564,238007.7220822599,922.0,922.0,0.0,1.0,940.0,632.0,42671.508,13830.005,972.6350512114336,491.73150000000004,0.0,0.0,57965.87955121144,71.41250608133144,80.26700051215637
base,ridge,2018-07-09,Optimal,Optimal,0.06307637499412522,0.027956292004091665,222002.31361785816,695.0,695.0,0.0,1.0,737.0,877.0,34447.476,11223.79,746.2953280957618,629.9277,0.0,0.0,47047.48902809576,57.05457925002887,57.97173881910615
base,ridge,2018-07-16,Optimal,Optimal,0.06716554099693894,0.03756462500314228,213662.10291396934,1202.0,1152.0,50.0,0.9584026622296173,513.0,462.0,26855.172000000002,17554.425,1231.2311333584648,319.6113,8746.5,0.0,54706.939433358464,90.90571229136998,100.79708700550098
base,ridge,2018-07-23,Optimal,Optimal,0.06276683299802244,0.02849837500252761,335128.8856784933,1207.0,962.0,245.0,0.7970173985086992,1310.0,13.0,61255.656,14424.664999999999,987.404398998417,14.697000000000001,25281.25,20324.702812500003,122288.37521149842,71.1954870566375,83.5681005090634
base,ridge,2018-07-30,Optimal,Optimal,0.09379724998143502,0.03581395899527706,272800.9672230619,1482.0,1294.0,188.0,0.873144399460189,1291.0,29.0,59043.672,19322.605,1354.1945738598347,18.571,18370.3925,6497.374875,104606.80994885982,100.05820887123234,110.74578057799518
base,ridge,2018-08-06,Optimal,Optimal,0.06611200000043027,0.02930375002324581,324052.5850911782,1451.0,1271.0,180.0,0.875947622329428,1396.0,49.0,64877.538,18871.8,1329.227681347602,31.250999999999998,18672.1875,5730.0969375,109512.1011188476,96.98107384935857,110.6758181105467
base,ridge,2018-08-13,Optimal,Optimal,0.06641349999699742,0.03550700002233498,307334.32724733534,1366.0,1320.0,46.0,0.9663250366032211,1428.0,125.0,65444.01,19536.579999999998,1384.071968240383,97.6572,4856.135,0.0,91318.45416824038,101.16786753087896,114.94580559867023
