scenario,policy,origin_week,hub,category,ending_inventory
base,last_week,2018-06-25,RJ,auto,0.0
base,last_week,2018-06-25,RJ,bed_bath_table,0.0
base,last_week,2018-06-25,RJ,computers_accessories,0.0
base,last_week,2018-06-25,RJ,furniture_decor,0.0
base,last_week,2018-06-25,RJ,garden_tools,1.0
base,last_week,2018-06-25,RJ,health_beauty,23.0
base,last_week,2018-06-25,RJ,housewares,0.0
base,last_week,2018-06-25,RJ,sports_leisure,3.0
base,last_week,2018-06-25,RJ,telephony,6.0
base,last_week,2018-06-25,RJ,watches_gifts,0.0
base,last_week,2018-06-25,SC,auto,0.0
base,last_week,2018-06-25,SC,bed_bath_table,0.0
base,last_week,2018-06-25,SC,computers_accessories,0.0
base,last_week,2018-06-25,SC,furniture_decor,0.0
base,last_week,2018-06-25,SC,garden_tools,0.0
base,last_week,2018-06-25,SC,health_beauty,0.0
base,last_week,2018-06-25,SC,housewares,0.0
base,last_week,2018-06-25,SC,sports_leisure,5.0
base,last_week,2018-06-25,SC,telephony,0.0
base,last_week,2018-06-25,SC,watches_gifts,5.0
base,last_week,2018-06-25,RS,auto,0.0
base,last_week,2018-06-25,RS,bed_bath_table,0.0
base,last_week,2018-06-25,RS,computers_accessories,0.0
base,last_week,2018-06-25,RS,furniture_decor,0.0
base,last_week,2018-06-25,RS,garden_tools,5.0
base,last_week,2018-06-25,RS,health_beauty,0.0
base,last_week,2018-06-25,RS,housewares,14.0
base,last_week,2018-06-25,RS,sports_leisure,0.0
base,last_week,2018-06-25,RS,telephony,0.0
base,last_week,2018-06-25,RS,watches_gifts,3.0
base,last_week,2018-07-02,SP,auto,38.0
base,last_week,2018-07-02,SP,bed_bath_table,145.0
base,last_week,2018-07-02,SP,computers_accessories,36.0
base,last_week,2018-07-02,SP,furniture_decor,0.0
base,last_week,2018-07-02,SP,garden_tools,0.0
base,last_week,2018-07-02,SP,health_beauty,93.0
base,last_week,2018-07-02,SP,housewares,40.0
base,last_week,2018-07-02,SP,sports_leisure,20.0
base,last_week,2018-07-02,SP,telephony,63.0
base,last_week,2018-07-02,SP,watches_gifts,88.0
base,last_week,2018-07-02,PR,auto,1.0
base,last_week,2018-07-02,PR,bed_bath_table,0.0
base,last_week,2018-07-02,PR,computers_accessories,0.0
base,last_week,2018-07-02,PR,furniture_decor,21.0
base,last_week,2018-07-02,PR,garden_tools,0.0
base,last_week,2018-07-02,PR,health_beauty,15.0
base,last_week,2018-07-02,PR,housewares,0.0
base,last_week,2018-07-02,PR,sports_leisure,3.0
base,last_week,2018-07-02,PR,telephony,0.0
base,last_week,2018-07-02,PR,watches_gifts,0.0
base,last_week,2018-07-02,MG,auto,0.0
base,last_week,2018-07-02,MG,bed_bath_table,0.0
base,last_week,2018-07-02,MG,computers_accessories,8.0
base,last_week,2018-07-02,MG,furniture_decor,0.0
base,last_week,2018-07-02,MG,garden_tools,0.0
base,last_week,2018-07-02,MG,health_beauty,0.0
base,last_week,2018-07-02,MG,housewares,0.0
base,last_week,2018-07-02,MG,sports_leisure,11.0
base,last_week,2018-07-02,MG,telephony,2.0
base,last_week,2018-07-02,MG,watches_gifts,0.0
base,last_week,2018-07-02,RJ,auto,2.0
base,last_week,2018-07-02,RJ,bed_bath_table,0.0
base,last_week,2018-07-02,RJ,computers_accessories,0.0
base,last_week,2018-07-02,RJ,furniture_decor,0.0
base,last_week,2018-07-02,RJ,garden_tools,0.0
base,last_week,2018-07-02,RJ,health_beauty,44.0
base,last_week,2018-07-02,RJ,housewares,0.0
base,last_week,2018-07-02,RJ,sports_leisure,12.0
base,last_week,2018-07-02,RJ,telephony,12.0
base,last_week,2018-07-02,RJ,watches_gifts,0.0
base,last_week,2018-07-02,SC,auto,0.0
base,last_week,2018-07-02,SC,bed_bath_table,17.0
base,last_week,2018-07-02,SC,computers_accessories,0.0
base,last_week,2018-07-02,SC,furniture_decor,0.0
base,last_week,2018-07-02,SC,garden_tools,0.0
base,last_week,2018-07-02,SC,health_beauty,0.0
base,last_week,2018-07-02,SC,housewares,0.0
base,last_week,2018-07-02,SC,sports_leisure,0.0
