scenario,policy,origin_week,category,region,shortage_units
base,last_week,2018-06-25,garden_tools,Central-West,0.0
base,last_week,2018-06-25,garden_tools,North,0.0
base,last_week,2018-06-25,garden_tools,Northeast,0.0
base,last_week,2018-06-25,garden_tools,South,0.0
base,last_week,2018-06-25,garden_tools,Southeast,0.0
base,last_week,2018-06-25,health_beauty,Central-West,0.0
base,last_week,2018-06-25,health_beauty,North,0.0
base,last_week,2018-06-25,health_beauty,Northeast,0.0
base,last_week,2018-06-25,health_beauty,South,0.0
base,last_week,2018-06-25,health_beauty,Southeast,0.0
base,last_week,2018-06-25,housewares,Central-West,0.0
base,last_week,2018-06-25,housewares,North,0.0
base,last_week,2018-06-25,housewares,Northeast,0.0
base,last_week,2018-06-25,housewares,South,0.0
base,last_week,2018-06-25,housewares,Southeast,0.0
base,last_week,2018-06-25,sports_leisure,Central-West,0.0
base,last_week,2018-06-25,sports_leisure,North,0.0
base,last_week,2018-06-25,sports_leisure,Northeast,0.0
base,last_week,2018-06-25,sports_leisure,South,0.0
base,last_week,2018-06-25,sports_leisure,Southeast,0.0
base,last_week,2018-06-25,telephony,Central-West,0.0
base,last_week,2018-06-25,telephony,North,0.0
base,last_week,2018-06-25,telephony,Northeast,0.0
base,last_week,2018-06-25,telephony,South,0.0
base,last_week,2018-06-25,telephony,Southeast,0.0
base,last_week,2018-06-25,watches_gifts,Central-West,0.0
base,last_week,2018-06-25,watches_gifts,North,0.0
base,last_week,2018-06-25,watches_gifts,Northeast,0.0
base,last_week,2018-06-25,watches_gifts,South,0.0
base,last_week,2018-06-25,watches_gifts,Southeast,0.0
base,last_week,2018-07-02,auto,Central-West,0.0
base,last_week,2018-07-02,auto,North,0.0
base,last_week,2018-07-02,auto,Northeast,0.0
base,last_week,2018-07-02,auto,South,0.0
base,last_week,2018-07-02,auto,Southeast,0.0
base,last_week,2018-07-02,bed_bath_table,Central-West,0.0
base,last_week,2018-07-02,bed_bath_table,North,0.0
base,last_week,2018-07-02,bed_bath_table,Northeast,0.0
base,last_week,2018-07-02,bed_bath_table,South,0.0
base,last_week,2018-07-02,bed_bath_table,Southeast,0.0
base,last_week,2018-07-02,computers_accessories,Central-West,0.0
base,last_week,2018-07-02,computers_accessories,North,0.0
base,last_week,2018-07-02,computers_accessories,Northeast,0.0
base,last_week,2018-07-02,computers_accessories,South,0.0
base,last_week,2018-07-02,computers_accessories,Southeast,0.0
base,last_week,2018-07-02,furniture_decor,Central-West,0.0
base,last_week,2018-07-02,furniture_decor,North,0.0
base,last_week,2018-07-02,furniture_decor,Northeast,0.0
base,last_week,2018-07-02,furniture_decor,South,0.0
base,last_week,2018-07-02,furniture_decor,Southeast,0.0
base,last_week,2018-07-02,garden_tools,Central-West,0.0
base,last_week,2018-07-02,garden_tools,North,0.0
base,last_week,2018-07-02,garden_tools,Northeast,4.0
base,last_week,2018-07-02,garden_tools,South,0.0
base,last_week,2018-07-02,garden_tools,Southeast,0.0
base,last_week,2018-07-02,health_beauty,Central-West,0.0
base,last_week,2018-07-02,health_beauty,North,0.0
base,last_week,2018-07-02,health_beauty,Northeast,0.0
base,last_week,2018-07-02,health_beauty,South,0.0
base,last_week,2018-07-02,health_beauty,Southeast,0.0
base,last_week,2018-07-02,housewares,Central-West,0.0
base,last_week,2018-07-02,housewares,North,0.0
base,last_week,2018-07-02,housewares,Northeast,0.0
base,last_week,2018-07-02,housewares,South,0.0
base,last_week,2018-07-02,housewares,Southeast,0.0
base,last_week,2018-07-02,sports_leisure,Central-West,0.0
base,last_week,2018-07-02,sports_leisure,North,0.0
base,last_week,2018-07-02,sports_leisure,Northeast,0.0
base,last_week,2018-07-02,sports_leisure,South,0.0
base,last_week,2018-07-02,sports_leisure,Southeast,0.0
base,last_week,2018-07-02,telephony,Central-West,0.0
base,last_week,2018-07-02,telephony,North,0.0
base,last_week,2018-07-02,telephony,Northeast,0.0
base,last_week,2018-07-02,telephony,South,0.0
base,last_week,2018-07-02,telephony,Southeast,0.0
base,last_week,2018-07-02,watches_gifts,Central-West,0.0
base,last_week,2018-07-02,watches_gifts,North,0.0
base,last_week,2018-07-02,watches_gifts,Northeast,0.0
base,last_week,2018-07-02,watches_gifts,South,0.0
base,last_week,2018-07-02,watches_gifts,Southeast,0.0
base,last_week,2018-07-09,auto,Central-West,0.0
base,last_week,2018-07-09,auto,North,0.0
base,last_week,2018-07-09,auto,Northeast,0.0
base,last_week,2018-07-09,auto,South,0.0
base,last_week,2018-07-09,auto,Southeast,0.0
base,last_week,2018-07-09,bed_bath_table,Central-West,0.0
base,last_week,2018-07-09,bed_bath_table,North,0.0
base,last_week,2018-07-09,bed_bath_table,Northeast,0.0
base,last_week,2018-07-09,bed_bath_table,South,0.0
base,last_week,2018-07-09,bed_bath_table,Southeast,0.0
base,last_week,2018-07-09,computers_accessories,Central-West,0.0
base,last_week,2018-07-09,computers_accessories,North,0.0
base,last_week,2018-07-09,computers_accessories,Northeast,0.0
