category,region,method,observations,actual_units,MAE,WAPE,bias,wape_rank,is_best_wape
furniture_decor,Northeast,last_week,13,90.0,4.0,0.5777777777777777,0.3076923076923077,3.0,False
furniture_decor,South,ridge,13,260.0,7.899816437330302,0.39499082186651513,0.22929903545949443,1.0,True
furniture_decor,South,last_week,13,260.0,10.0,0.5,-0.15384615384615385,2.0,False
furniture_decor,South,moving_average,13,260.0,10.038461538461538,0.5019230769230769,0.5384615384615384,3.0,False
furniture_decor,Southeast,ridge,13,891.0,22.971703608702878,0.3351651480506593,3.827454174708348,1.0,True
furniture_decor,Southeast,moving_average,13,891.0,23.98076923076923,0.3498877665544332,3.25,2.0,False
furniture_decor,Southeast,last_week,13,891.0,25.0,0.36475869809203143,1.0,3.0,False
garden_tools,Central-West,ridge,13,22.0,1.7992766898809367,1.0632089531114626,-0.3614585755099109,1.0,True
garden_tools,Central-West,moving_average,13,22.0,1.8269230769230769,1.0795454545454546,0.28846153846153844,2.0,False
garden_tools,Central-West,last_week,13,22.0,2.076923076923077,1.2272727272727273,0.07692307692307693,3.0,False
garden_tools,North,ridge,13,7.0,0.5905964405447498,1.096821961011678,-0.4863266363783272,1.0,True
garden_tools,North,moving_average,13,7.0,0.6730769230769231,1.25,0.17307692307692307,2.0,False
garden_tools,North,last_week,13,7.0,0.7692307692307693,1.4285714285714286,0.0,3.0,False
garden_tools,Northeast,moving_average,13,45.0,1.6730769230769231,0.48333333333333334,0.09615384615384616,1.0,True
garden_tools,Northeast,ridge,13,45.0,2.1905749773605234,0.6328327712374845,-0.26394497645138065,2.0,False
garden_tools,Northeast,last_week,13,45.0,2.5384615384615383,0.7333333333333333,0.07692307692307693,3.0,False
garden_tools,South,moving_average,13,65.0,3.2884615384615383,0.6576923076923077,1.1346153846153846,1.0,True
garden_tools,South,ridge,13,65.0,3.6388347510202332,0.7277669502040466,1.0642025985786177,2.0,False
garden_tools,South,last_week,13,65.0,4.615384615384615,0.9230769230769231,0.9230769230769231,3.0,False
garden_tools,Southeast,moving_average,13,382.0,11.365384615384615,0.3867801047120419,4.634615384615385,1.0,True
garden_tools,Southeast,ridge,13,382.0,13.068148132456539,0.44472755424590316,8.05384283788847,2.0,False
garden_tools,Southeast,last_week,13,382.0,13.307692307692308,0.45287958115183247,1.0,3.0,False
health_beauty,Central-West,ridge,13,155.0,4.702795785070924,0.39442803358659356,-0.48172066722406615,1.0,True
health_beauty,Central-West,last_week,13,155.0,5.153846153846154,0.432258064516129,-0.23076923076923078,2.0,False
health_beauty,Central-West,moving_average,13,155.0,5.173076923076923,0.4338709677419355,-1.1730769230769231,3.0,False
health_beauty,North,moving_average,13,63.0,2.6923076923076925,0.5555555555555556,-0.38461538461538464,1.0,True
health_beauty,North,ridge,13,63.0,3.010020827930537,0.6211154089380473,0.012669742141170422,2.0,False
health_beauty,North,last_week,13,63.0,3.3076923076923075,0.6825396825396826,0.07692307692307693,3.0,False
health_beauty,Northeast,moving_average,13,280.0,4.615384615384615,0.21428571428571427,-0.7692307692307693,1.0,True
health_beauty,Northeast,ridge,13,280.0,4.918042417231622,0.22833768365718246,-1.1544737526407796,2.0,False
health_beauty,Northeast,last_week,13,280.0,5.153846153846154,0.2392857142857143,0.07692307692307693,3.0,False
health_beauty,South,ridge,13,259.0,4.889443309992102,0.24541607347450706,-0.5711014054667272,1.0,True
health_beauty,South,last_week,13,259.0,6.076923076923077,0.305019305019305,-0.5384615384615384,2.0,False
health_beauty,South,moving_average,13,259.0,6.6923076923076925,0.3359073359073359,-1.7692307692307692,3.0,False
health_beauty,Southeast,ridge,13,1796.0,28.936859209520176,0.209453880692518,-9.02988557670817,1.0,True
health_beauty,Southeast,last_week,13,1796.0,33.53846153846154,0.24276169265033407,-3.076923076923077,2.0,False
health_beauty,Southeast,moving_average,13,1796.0,34.5,0.2497216035634744,-4.346153846153846,3.0,False
housewares,Central-West,ridge,13,125.0,4.08221461536037,0.42455031999747855,-1.722713467733866,1.0,True
