hub,category,region,sample_size,raw_late_dispatch_rate,raw_late_delivery_rate,median_freight,median_approval_to_carrier_days,shipping_cost,late_probability,supplier_risk,expected_risk_cost_per_unit,risk_adjusted_route_cost,evidence_level
PR,furniture_decor,Southeast,712,0.1049645390070922,0.06456241032998565,19.665,1.859386574074074,19.665,0.06533648854845422,0.10182070056256835,1.0317954112004757,20.696795411200476,high
RJ,auto,Southeast,71,0.11267605633802817,0.07246376811594203,15.23,1.5313657407407408,15.23,0.0752529770910432,0.08546279654592497,1.0293377994579704,16.25933779945797,high
SC,bed_bath_table,South,123,0.0975609756097561,0.04878048780487805,18.05,2.540115740740741,18.05,0.05586271909790185,0.11637478898893544,1.0287756977278921,19.07877569772789,high
RJ,furniture_decor,Central-West,4,0.0,0.0,16.29,1.298125,16.29,0.07246947737098701,0.08967372314350126,1.0281244346854024,17.3181244346854,low
SP,garden_tools,Central-West,162,0.08024691358024691,0.06790123456790123,17.89,2.382372685185185,17.89,0.07018431277902788,0.09298103520062254,1.0263796782353358,18.916379678235337,high
SP,sports_leisure,Central-West,334,0.07926829268292683,0.07453416149068323,17.505,1.8012384259259258,17.505,0.07514372441867925,0.08414146468090333,1.0218571187539507,18.52685711875395,high
RS,telephony,Central-West,2,0.0,0.0,22.659999999999997,4.482170138888889,22.659999999999997,0.07638674641806739,0.08193913711579924,1.0207896569235353,23.680789656923533,low
RS,telephony,South,2,0.0,0.0,12.004999999999999,4.939803240740741,12.004999999999999,0.07638674641806739,0.08193913711579924,1.0207896569235353,13.025789656923534,low
PR,housewares,North,4,0.0,0.0,33.875,1.5011574074074074,33.875,0.07246947737098701,0.08813305759669116,1.0204211069513518,34.89542110695135,low
SP,bed_bath_table,North,73,0.1095890410958904,0.0821917808219178,33.15,2.689236111111111,33.15,0.08172508905063419,0.07268043946805962,1.0172029097453716,34.16720290974537,high
RS,auto,Southeast,42,0.14285714285714285,0.023809523809523808,17.92,2.9033796296296295,17.92,0.04969233269439602,0.12302886096171617,1.0126829663637489,18.93268296636375,high
PR,auto,North,2,0.0,0.0,50.305,1.6055150462962962,50.305,0.07638674641806739,0.08020127879952639,1.012100365342171,51.31710036534217,low
SC,bed_bath_table,Southeast,403,0.12437810945273632,0.05063291139240506,22.83,2.008420138888889,22.83,0.05308444097085696,0.11637478898893544,1.006549472711533,23.836549472711532,high
RS,computers_accessories,North,11,0.0,0.0,44.03,1.2203009259259259,44.03,0.06280688038818874,0.0995179866686702,1.0000449764488608,45.03004497644886,medium
MG,housewares,North,12,0.08333333333333333,0.0,36.82,1.713622685185185,36.82,0.061441513423228115,0.10152606165785179,0.9991624156750838,37.81916241567508,medium
RS,computers_accessories,South,122,0.09016393442622951,0.05737704918032787,15.120000000000001,1.6891898148148148,15.120000000000001,0.06258795934693308,0.0995179866686702,0.9982936081188156,16.118293608118815,high
SP,bed_bath_table,Southeast,7492,0.07459488415695728,0.0791113519371444,14.78,1.8280208333333334,14.78,0.0791190925734756,0.07268043946805962,0.9963549379281029,15.776354937928103,high
RJ,telephony,South,3,0.0,0.5,18.23,3.0506076388888888,18.23,0.10341377344509442,0.03326706587145713,0.9936455169180409,19.22364551691804,low
MG,watches_gifts,South,14,0.07142857142857142,0.0,23.105,1.0920659722222221,23.105,0.057679788111601904,0.1061458416513344,0.9921675131494871,24.097167513149486,medium
MG,computers_accessories,North,47,0.10638297872340426,0.06666666666666667,27.89,2.5782291666666666,27.89,0.07282887021835617,0.08151143618139821,0.9901881426538404,28.88018814265384,high
MG,bed_bath_table,Central-West,17,0.0,0.0,17.09,1.4878935185185185,17.09,0.05435210802824026,0.1110357686898475,0.9899957076751595,18.07999570767516,medium
SC,furniture_decor,Central-West,4,0.25,0.0,26.57,1.3688483796296298,26.57,0.07246947737098701,0.08091766942473151,0.9843441660915536,27.554344166091553,low
MG,watches_gifts,Central-West,16,0.1875,0.0,21.865,1.734537037037037,21.865,0.05652619234936987,0.1061458416513344,0.9829387470516309,22.84793874705163,medium
SP,garden_tools,South,494,0.09979633401221996,0.06326530612244897,17.67,2.909097222222222,17.67,0.06443106593803523,0.09298103520062254,0.9803537035073945,18.650353703507395,high
SP,telephony,South,634,0.07301587301587302,0.0592,15.1,2.438790509259259,15.1,0.06034289335980075,0.09768644047983457,0.9711753492775789,16.071175349277578,high
SC,furniture_decor,North,5,0.0,0.0,56.38,1.033622685185185,56.38,0.07065774043671233,0.08091766942473151,0.9698502706173562,57.34985027061736,low
MG,housewares,Southeast,623,0.10016420361247948,0.05638474295190713,18.37,1.5355671296296296,18.37,0.057721488428634005,0.10152606165785179,0.969402215718331,19.339402215718334,high
SP,auto,North,72,0.05714285714285714,0.08571428571428572,27.369999999999997,1.785925925925926,27.369999999999997,0.08406009159493802,0.05826164847633178,0.963788975141163,28.33378897514116,high
RS,telephony,Southeast,6,0.16666666666666666,0.0,19.27,7.769982638888889,19.27,0.0689343809138657,0.08193913711579924,0.9611707328899217,20.23117073288992,low
RS,computers_accessories,Southeast,226,0.10176991150442478,0.05309734513274336,18.235,1.4085069444444445,18.235,0.056805783974975065,0.0995179866686702,0.9520362051431515,19.18703620514315,high
RS,sports_leisure,North,1,0.0,0.0,31.81,1.848912037037037,31.81,0.07850860048523593,0.06475793202476177,0.9518584640056963,32.7618584640057,low
SP,watches_gifts,Southeast,3238,0.06187810945273632,0.08165195460277427,13.69,1.4642534722222222,13.69,0.08164212959696554,0.05938900733503137,0.9500820734508812,14.64008207345088,high
