scenario,policy,origin_week,target_week,horizon,category,region,planned_shortage
base,last_week,2018-06-04,2018-06-04,1,telephony,Northeast,0.0
base,last_week,2018-06-04,2018-06-11,2,telephony,Northeast,0.0
base,last_week,2018-06-04,2018-06-18,3,telephony,Northeast,0.0
base,last_week,2018-06-04,2018-06-25,4,telephony,Northeast,0.0
base,last_week,2018-06-04,2018-06-04,1,telephony,South,0.0
base,last_week,2018-06-04,2018-06-11,2,telephony,South,0.0
base,last_week,2018-06-04,2018-06-18,3,telephony,South,0.0
base,last_week,2018-06-04,2018-06-25,4,telephony,South,0.0
base,last_week,2018-06-04,2018-06-04,1,telephony,Southeast,0.0
base,last_week,2018-06-04,2018-06-11,2,telephony,Southeast,0.0
base,last_week,2018-06-04,2018-06-18,3,telephony,Southeast,0.0
base,last_week,2018-06-04,2018-06-25,4,telephony,Southeast,0.0
base,last_week,2018-06-04,2018-06-04,1,watches_gifts,Central-West,7.0
base,last_week,2018-06-04,2018-06-11,2,watches_gifts,Central-West,0.0
base,last_week,2018-06-04,2018-06-18,3,watches_gifts,Central-West,0.0
base,last_week,2018-06-04,2018-06-25,4,watches_gifts,Central-West,0.0
base,last_week,2018-06-04,2018-06-04,1,watches_gifts,North,0.0
base,last_week,2018-06-04,2018-06-11,2,watches_gifts,North,0.0
base,last_week,2018-06-04,2018-06-18,3,watches_gifts,North,0.0
base,last_week,2018-06-04,2018-06-25,4,watches_gifts,North,0.0
