scenario,policy,origin_week,target_week,horizon,region,service_gap
base,moving_average,2018-06-25,2018-07-02,2,Northeast,0.0
base,moving_average,2018-06-25,2018-07-09,3,Northeast,0.0
base,moving_average,2018-06-25,2018-07-16,4,Northeast,0.0
base,moving_average,2018-06-25,2018-06-25,1,South,0.0
base,moving_average,2018-06-25,2018-07-02,2,South,0.0
base,moving_average,2018-06-25,2018-07-09,3,South,0.0
base,moving_average,2018-06-25,2018-07-16,4,South,0.0
base,moving_average,2018-06-25,2018-06-25,1,Southeast,0.0
base,moving_average,2018-06-25,2018-07-02,2,Southeast,0.0
base,moving_average,2018-06-25,2018-07-09,3,Southeast,0.0
base,moving_average,2018-06-25,2018-07-16,4,Southeast,0.0
base,moving_average,2018-07-02,2018-07-02,1,Central-West,0.0
base,moving_average,2018-07-02,2018-07-09,2,Central-West,0.0
base,moving_average,2018-07-02,2018-07-16,3,Central-West,0.0
base,moving_average,2018-07-02,2018-07-23,4,Central-West,0.0
base,moving_average,2018-07-02,2018-07-02,1,North,0.0
base,moving_average,2018-07-02,2018-07-09,2,North,0.0
base,moving_average,2018-07-02,2018-07-16,3,North,0.0
base,moving_average,2018-07-02,2018-07-23,4,North,0.0
base,moving_average,2018-07-02,2018-07-02,1,Northeast,0.3
base,moving_average,2018-07-02,2018-07-09,2,Northeast,0.0
base,moving_average,2018-07-02,2018-07-16,3,Northeast,0.0
base,moving_average,2018-07-02,2018-07-23,4,Northeast,0.0
base,moving_average,2018-07-02,2018-07-02,1,South,0.0
base,moving_average,2018-07-02,2018-07-09,2,South,0.0
base,moving_average,2018-07-02,2018-07-16,3,South,0.0
base,moving_average,2018-07-02,2018-07-23,4,South,0.0
base,moving_average,2018-07-02,2018-07-02,1,Southeast,0.0
base,moving_average,2018-07-02,2018-07-09,2,Southeast,0.0
base,moving_average,2018-07-02,2018-07-16,3,Southeast,0.0
base,moving_average,2018-07-02,2018-07-23,4,Southeast,0.0
base,moving_average,2018-07-09,2018-07-09,1,Central-West,0.0
base,moving_average,2018-07-09,2018-07-16,2,Central-West,0.0
base,moving_average,2018-07-09,2018-07-23,3,Central-West,0.0
base,moving_average,2018-07-09,2018-07-30,4,Central-West,0.0
base,moving_average,2018-07-09,2018-07-09,1,North,0.0
base,moving_average,2018-07-09,2018-07-16,2,North,0.0
