scenario,policy,origin_week,hub,used_capacity_kg,available_capacity_kg,capacity_utilization
base,moving_average,2018-06-11,RJ,56.74,79.95442500000001,0.7096542811733058
base,moving_average,2018-06-11,RS,24.365,60.487019999999994,0.40281369457447236
base,moving_average,2018-06-11,SC,35.452,224.56116,0.15787235869283894
base,moving_average,2018-06-11,SP,648.0160000000001,2165.512725,0.29924368142422253
base,moving_average,2018-06-18,MG,48.811,450.2017800000001,0.10842027323836878
base,moving_average,2018-06-18,PR,58.161,260.85037500000004,0.22296690200272853
base,moving_average,2018-06-18,RJ,53.47,79.95442500000001,0.6687559819234519
base,moving_average,2018-06-18,RS,23.646,60.487019999999994,0.39092684678464906
base,moving_average,2018-06-18,SC,21.442,224.56116,0.09548400979047311
base,moving_average,2018-06-18,SP,621.472,2165.512725,0.28698607624205946
base,moving_average,2018-06-25,MG,50.575,450.2017800000001,0.11233851629818077
base,moving_average,2018-06-25,PR,60.688,260.85037500000004,0.23265444797616255
base,moving_average,2018-06-25,RJ,59.765,79.95442500000001,0.7474883347607089
base,moving_average,2018-06-25,RS,24.5,60.487019999999994,0.4050455783736743
base,moving_average,2018-06-25,SC,50.234,224.56116,0.22369852382308678
base,moving_average,2018-06-25,SP,677.795,2165.512725,0.31299515914874154
base,moving_average,2018-07-02,MG,61.475,450.2017800000001,0.13654988214395775
base,moving_average,2018-07-02,PR,38.033,260.85037500000004,0.1458038923654988
base,moving_average,2018-07-02,RJ,41.64,79.95442500000001,0.520796691365112
base,moving_average,2018-07-02,RS,31.52,60.487019999999994,0.521103535932172
base,moving_average,2018-07-02,SC,28.512999999999998,224.56116,0.12697209081036095
base,moving_average,2018-07-02,SP,540.105,2165.512725,0.24941206475708888
base,moving_average,2018-07-09,MG,38.65,450.2017800000001,0.085850393572411
base,moving_average,2018-07-09,PR,24.818,260.85037500000004,0.09514266559900478
base,moving_average,2018-07-09,RJ,41.79,79.95442500000001,0.522672760138041
base,moving_average,2018-07-09,RS,22.175,60.487019999999994,0.3666075796096419
base,moving_average,2018-07-09,SC,22.192999999999998,224.56116,0.09882831029194897
base,moving_average,2018-07-09,SP,348.49,2165.512725,0.16092724645614817
base,moving_average,2018-07-16,MG,47.975,450.2017800000001,0.10656332811478442
base,moving_average,2018-07-16,PR,60.468,260.85037500000004,0.2318110526005569
base,moving_average,2018-07-16,RJ,52.89,79.95442500000001,0.6615018493347928
base,moving_average,2018-07-16,RS,28.665000000000003,60.487019999999994,0.4739033266971989
base,moving_average,2018-07-16,SC,37.089,224.56116,0.16516213222268714
base,moving_average,2018-07-16,SP,724.033,2165.512725,0.3343471463553741
base,moving_average,2018-07-23,MG,75.97500000000001,450.2017800000001,0.16875766239751427
base,moving_average,2018-07-23,PR,48.403,260.85037500000004,0.18555848347927426
base,moving_average,2018-07-23,RJ,53.04,79.95442500000001,0.6633779181077218
base,moving_average,2018-07-23,RS,18.0,60.487019999999994,0.2975845065602505
base,moving_average,2018-07-23,SC,65.303,224.56116,0.2908027372142182
base,moving_average,2018-07-23,SP,642.985,2165.512725,0.2969204440948275
base,moving_average,2018-07-30,MG,50.775,450.2017800000001,0.1127827615430574
base,moving_average,2018-07-30,PR,52.553000000000004,260.85037500000004,0.20146798715547176
base,moving_average,2018-07-30,RJ,48.408,79.95442500000001,0.605444914399672
base,moving_average,2018-07-30,RS,32.252,60.487019999999994,0.5332053058656222
base,moving_average,2018-07-30,SC,48.015,224.56116,0.21381702873284053
base,moving_average,2018-07-30,SP,670.941,2165.512725,0.3098300888534377
base,moving_average,2018-08-06,MG,51.925000000000004,450.2017800000001,0.1153371717010981
base,moving_average,2018-08-06,PR,58.653000000000006,260.85037500000004,0.22485304075181028
base,moving_average,2018-08-06,RJ,54.84,79.95442500000001,0.6858907433828708
base,moving_average,2018-08-06,RS,35.725,60.487019999999994,0.5906225831591638
base,moving_average,2018-08-06,SC,54.467,224.56116,0.2425486223886624
base,moving_average,2018-08-06,SP,720.018,2165.512725,0.3324930819790034
base,moving_average,2018-08-13,MG,52.9,450.2017800000001,0.11750286726987172
base,moving_average,2018-08-13,PR,44.753,260.85037500000004,0.17156578747490775
base,moving_average,2018-08-13,RJ,54.24,79.95442500000001,0.6783864682911546
base,moving_average,2018-08-13,RS,35.555,60.487019999999994,0.5878120628194281
base,moving_average,2018-08-13,SC,37.359,224.56116,0.16636447727648004
base,moving_average,2018-08-13,SP,881.3910000000001,2165.512725,0.4070126163770292
base,moving_average,2018-08-20,MG,8.85,450.2017800000001,0.01965785208579139
base,moving_average,2018-08-20,PR,28.643000000000004,260.85037500000004,0.10980624428851214
base,moving_average,2018-08-20,RJ,17.89,79.95442500000001,0.22375246898467469
base,moving_average,2018-08-20,RS,14.3,60.487019999999994,0.23641435798953234
base,moving_average,2018-08-20,SC,17.7,224.56116,0.07882039797086905
base,moving_average,2018-08-20,SP,497.718,2165.512725,0.22983840928480345
base,ridge,2018-05-28,MG,35.625,450.2017800000001,0.0791311842436518
base,ridge,2018-05-28,PR,32.429,260.85037500000004,0.12432031197961665
base,ridge,2018-05-28,RJ,23.47,79.95442500000001,0.29354222733763635
base,ridge,2018-05-28,RS,9.985000000000001,60.487019999999994,0.16507673877800563
base,ridge,2018-05-28,SC,30.5,224.56116,0.13582045978031107
base,ridge,2018-05-28,SP,545.176,2165.512725,0.25175377346258726
base,ridge,2018-06-04,MG,61.0,450.2017800000001,0.1354947996873757
base,ridge,2018-06-04,PR,54.353,260.85037500000004,0.20836849477406347
base,ridge,2018-06-04,RJ,43.04,79.95442500000001,0.5383066665791166
base,ridge,2018-06-04,RS,27.735,60.487019999999994,0.4585281271915859
base,ridge,2018-06-04,SC,43.036,224.56116,0.19164489531493337
base,ridge,2018-06-04,SP,645.997,2165.512725,0.29831133871540744
base,ridge,2018-06-11,MG,46.65,450.2017800000001,0.10362020336747667
base,ridge,2018-06-11,PR,50.59,260.85037500000004,0.19394260023586316
base,ridge,2018-06-11,RJ,56.74,79.95442500000001,0.7096542811733058
base,ridge,2018-06-11,RS,22.85,60.487019999999994,0.3777669986056513
base,ridge,2018-06-11,SC,42.06,224.56116,0.1872986406019634
base,ridge,2018-06-11,SP,597.291,2165.512725,0.2758196676032001
base,ridge,2018-06-18,MG,36.875,450.2017800000001,0.0819077170241308
base,ridge,2018-06-18,PR,56.403,260.85037500000004,0.21622740622857065
base,ridge,2018-06-18,RJ,47.339999999999996,79.95442500000001,0.5920873047364169
base,ridge,2018-06-18,RS,21.475,60.487019999999994,0.3550348487989655
base,ridge,2018-06-18,SC,32.209,224.56116,0.14343085865783736
base,ridge,2018-06-18,SP,668.4,2165.512725,0.3086566946864743
base,ridge,2018-06-25,MG,50.5,450.2017800000001,0.11217192433135202
base,ridge,2018-06-25,PR,55.088,260.85037500000004,0.21118620205165506
base,ridge,2018-06-25,RJ,47.19,79.95442500000001,0.5902112359634878
base,ridge,2018-06-25,RS,22.85,60.487019999999994,0.3777669986056513
base,ridge,2018-06-25,SC,44.934,224.56116,0.20009693573011467
base,ridge,2018-06-25,SP,704.37,2165.512725,0.32526707964738466
base,ridge,2018-07-02,MG,39.875,450.2017800000001,0.08857139569728043
base,ridge,2018-07-02,PR,31.973,260.85037500000004,0.12257218338290675
base,ridge,2018-07-02,RJ,41.64,79.95442500000001,0.520796691365112
base,ridge,2018-07-02,RS,33.800000000000004,60.487019999999994,0.5587975734298037
base,ridge,2018-07-02,SC,27.692999999999998,224.56116,0.12332052435069359
base,ridge,2018-07-02,SP,566.3050000000001,2165.512725,0.2615108161047634
base,ridge,2018-07-09,MG,35.050000000000004,450.2017800000001,0.07785397916463146
base,ridge,2018-07-09,PR,24.818,260.85037500000004,0.09514266559900478
base,ridge,2018-07-09,RJ,42.589999999999996,79.95442500000001,0.5326784602603294
base,ridge,2018-07-09,RS,22.521,60.487019999999994,0.3723278151246334
base,ridge,2018-07-09,SC,21.500999999999998,224.56116,0.09574674445037601
base,ridge,2018-07-09,SP,351.636,2165.512725,0.16238002018667427
base,ridge,2018-07-16,MG,49.113,450.2017800000001,0.1090910835581325
base,ridge,2018-07-16,PR,68.47800000000001,260.85037500000004,0.26251831150328997
base,ridge,2018-07-16,RJ,57.388000000000005,79.95442500000001,0.7177588982723595
base,ridge,2018-07-16,RS,31.595000000000002,60.487019999999994,0.522343471376173
base,ridge,2018-07-16,SC,33.946,224.56116,0.15116594517057177
base,ridge,2018-07-16,SP,692.192,2165.512725,0.31964346919272896
base,ridge,2018-07-23,MG,77.075,450.2017800000001,0.1712010112443358
base,ridge,2018-07-23,PR,42.033,260.85037500000004,0.16113835374014698
base,ridge,2018-07-23,RJ,47.865,79.95442500000001,0.5986535454416687
base,ridge,2018-07-23,RS,24.18,60.487019999999994,0.39975518714593644
base,ridge,2018-07-23,SC,45.563,224.56116,0.2028979543924693
base,ridge,2018-07-23,SP,544.895,2165.512725,0.2516240120454614
base,ridge,2018-07-30,MG,54.2,450.2017800000001,0.1203904613615699
base,ridge,2018-07-30,PR,56.353,260.85037500000004,0.21603572546138755
base,ridge,2018-07-30,RJ,48.29,79.95442500000001,0.6039690736316344
base,ridge,2018-07-30,RS,35.141,60.487019999999994,0.5809676191685423
base,ridge,2018-07-30,SC,44.723,224.56116,0.19915732533622466
base,ridge,2018-07-30,SP,775.361,2165.512725,0.3580496161711541
base,ridge,2018-08-06,MG,52.0,450.2017800000001,0.11550376366792683
base,ridge,2018-08-06,PR,64.153,260.85037500000004,0.24593792514195156
base,ridge,2018-08-06,RJ,44.64,79.95442500000001,0.5583180668236936
base,ridge,2018-08-06,RS,33.59,60.487019999999994,0.5553257541866008
base,ridge,2018-08-06,SC,61.475,224.56116,0.2737561562293319
base,ridge,2018-08-06,SP,788.567,2165.512725,0.36414794099166514
base,ridge,2018-08-13,MG,53.6,450.2017800000001,0.11905772562693996
base,ridge,2018-08-13,PR,43.353,260.85037500000004,0.1661987259937809
base,ridge,2018-08-13,RJ,58.339999999999996,79.95442500000001,0.7296656814178826
base,ridge,2018-08-13,RS,35.555,60.487019999999994,0.5878120628194281
base,ridge,2018-08-13,SC,50.959,224.56116,0.2269270429490122
base,ridge,2018-08-13,SP,831.621,2165.512725,0.3840296066604734
base,ridge,2018-08-20,MG,8.85,450.2017800000001,0.01965785208579139
base,ridge,2018-08-20,PR,28.643000000000004,260.85037500000004,0.10980624428851214
base,ridge,2018-08-20,RJ,17.89,79.95442500000001,0.22375246898467469
base,ridge,2018-08-20,RS,14.3,60.487019999999994,0.23641435798953234
base,ridge,2018-08-20,SC,17.7,224.56116,0.07882039797086905
base,ridge,2018-08-20,SP,497.718,2165.512725,0.22983840928480345
